VehicleID,Average Velocity (km/h)
0,18.924404838282207
62,272.8273323967954
66,314.6192754920133
71,102.70064830432925
6,106.26140540108814
67,310.09812862871877
64,124.1180580421405
65,192.78558810760723
69,142.18764460966614
23,208.94719646046764
68,290.77925113141146
60,204.42114668230457
58,185.8400023191975
61,226.4847451960107
47,166.07651246164636
51,246.3890194686253
46,228.26770585666472
48,215.82177394763985
21,207.79511249003818
52,255.13874741598806
4,161.78904310680545
3,102.24550287086774
5,124.5846377025426
1,48.948302782770725
2,66.33158794775608
7,136.9400005987601
31,229.03328112649038
18,31.262441029797895
54,212.0145969498028
55,167.6225094132165
49,226.91099728640597
8,56.63057086053707
10,162.47276070710728
50,207.06269412770112
15,53.2707355500794
28,140.23967136426518
41,173.85393619326993
43,192.69776397257237
12,26.33766589565978
40,242.84340912384897
53,170.90457847059798
44,243.61030389095924
13,28.962153255804267
45,251.07913758433543
56,60.96664046723673
11,48.91993625720317
19,126.12724511688461
29,61.884253948703744
30,125.97977795525556
14,42.23216830563349
27,167.65362961798397
16,145.8681227424329
22,291.12579219620284
57,179.40189920819307
17,57.214447072403544
20,146.26952068777425
26,97.68433461941481
36,86.3300482160988
35,89.00077400964564
9,194.39938287118596
32,137.74142316505856
59,299.4768675633855
33,294.0168347441272
63,355.8627570925324
25,109.78963262042598
34,245.51038526483927
39,189.72153610215256
38,36.435219511829544
42,133.27351324724702
24,160.01685587040052
37,230.15726895410356
